year,country,region,latitude,longitude,date,remote_sale,salesman_position,product_type,product_subtype,number_of_sales,distance_travelled_in_KM,sales_amount_in_dollars,unit_price
1978,United Kingdom,Western Europe,54.597269,-5.930109,1978-10-12,NO,lead,energy,used,524,1990.8509989309289,84098.79876912724,160.49389078077718
1978,Spain,Western Europe,43.256963,-2.923441,1978-10-13,NO,junior,automotive,used,460,2013.2128602212292,87280.5905659549,189.74041427381502
1978,Spain,Western Europe,43.311307,-1.900896,1978-11-12,NO,lead,semiconductors,standard,611,1986.0798119788283,125248.37296004248,204.98915378075694
1978,Spain,Western Europe,43.090476,-2.3132200000000003,1978-11-12,YES,lead,energy,standard,624,0.0,69038.63710369455,110.638841512331
1979,Spain,Western Europe,43.178205,-2.31164,1979-1-13,YES,senior,energy,used,399,0.0,62717.31512285795,157.18625344074675
1979,Spain,Western Europe,43.136978000000006,-2.073914,1979-1-30,NO,lead,gold,used,650,2006.5796635442887,70732.69478274042,108.81953043498525
1979,Spain,Western Europe,43.22048,-2.021122,1979-2-3,NO,senior,automotive,standard,431,2037.5447295369195,65362.70509458953,151.65360810809636
1979,Turkey,Middle East & North Africa,41.018612,28.921206,1979-2-22,NO,junior,automotive,standard,512,1990.2113377762291,63147.80965541102,123.33556573322466
1979,Turkey,Middle East & North Africa,36.998256,35.319018,1979-2-22,NO,junior,energy,used,359,2013.7440646916277,62353.23310191536,173.68588607775865
1979,Turkey,Middle East & North Africa,37.587196,36.935225,1979-2-25,NO,junior,energy,used,466,1977.6410020985834,70730.73745944239,151.7826984108206
1979,United Kingdom,Western Europe,54.195016,-6.400072,1979-4-17,NO,junior,automotive,premium,499,1959.9769188422722,72745.61348609536,145.78279255730533
1979,United Kingdom,Western Europe,54.195016,-6.400072,1979-4-17,NO,junior,energy,premium,501,1989.7514069290714,82108.16668617821,163.88855625983675
1979,United States,North America,33.402029999999996,-86.953994,1979-5-2,YES,junior,automotive,used,631,0.0,86723.99448185644,137.43897699184856
1979,Spain,Western Europe,40.416691,-3.7003449999999996,1979-5-26,NO,lead,gold,used,702,2013.8573808326598,100629.60332298082,143.34701328059947
1979,Spain,Western Europe,40.416691,-3.7003449999999996,1979-7-14,NO,junior,energy,standard,693,1981.511002112713,148026.21239153494,213.602038083023
1979,Spain,Western Europe,40.416691,-3.7003449999999996,1979-7-29,NO,senior,energy,used,589,1991.8423825144844,75284.80376154975,127.8180029907466
1979,Spain,Western Europe,40.416691,-3.7003449999999996,1979-7-29,NO,senior,automotive,used,507,2026.2215652277043,55334.18758917819,109.14040944611082
1979,Spain,Western Europe,40.416691,-3.7003449999999996,1979-7-29,NO,senior,gold,used,581,1987.1295718928006,72055.5866164744,124.01994254126402
1979,Argentina,South America,-34.6037,-58.381503,1979-9-27,NO,junior,energy,used,460,1994.640502471764,102781.27373749854,223.4375516032577
1980,Spain,Western Europe,43.256963,-2.923441,1980-1-27,NO,junior,energy,standard,498,2006.3966529932693,84330.38747093783,169.3381274516824
1980,France,Western Europe,48.856614,2.3522220000000003,1980-1-29,YES,junior,energy,used,542,0.0,67093.06544489576,123.78794362526894
1980,Spain,Western Europe,40.416691,-3.7003449999999996,1980-5-6,YES,senior,semiconductors,premium,496,0.0,85453.10920592335,172.28449436678093
1980,Spain,Western Europe,42.465776,-2.449995,1980-7-22,YES,junior,automotive,standard,363,0.0,27905.30911739995,76.87412979999986
1980,Spain,Western Europe,43.280364,-2.1715880000000003,1980-11-3,NO,junior,energy,used,630,2014.8937880280157,65428.37642746233,103.85456575787671
1980,Spain,Western Europe,43.18418,-2.473289,1980-11-17,NO,lead,energy,standard,445,2005.5439810433581,52651.20581659768,118.31731644179253
1980,France,Western Europe,43.359398999999996,-1.766148,1980-11-23,YES,junior,semiconductors,standard,448,0.0,83257.29312567382,185.84217215552192
1980,Spain,Western Europe,42.465776,-2.449995,1980-11-27,NO,senior,automotive,used,577,1999.509498398494,117635.9427340916,203.87511739010677
1981,United States,North America,40.844782,-73.86624599999999,1981-6-2,NO,junior,energy,premium,530,1998.9744482261733,71385.36597118214,134.68936975694743
1981,United States,North America,38.986918,-76.942554,1981-6-27,NO,junior,semiconductors,used,515,1994.5587427260539,98925.44587509708,192.08824441766424
1981,Spain,Western Europe,43.353607000000004,-2.907457,1981-7-5,NO,junior,semiconductors,standard,507,1993.4236127548306,82704.97757917036,163.12618851907368
1981,Thailand,Southeast Asia,8.430398,99.963122,1981-10-15,NO,senior,gold,used,628,1999.9667563288824,90694.65137680876,144.41823467644707
1981,Turkey,Middle East & North Africa,41.010676000000004,28.957255,1981-12-8,YES,senior,semiconductors,used,537,0.0,90815.35115923511,169.1161101661734
1982,Spain,Western Europe,43.309635,-3.00694,1982-3-22,YES,senior,semiconductors,standard,435,0.0,76677.36016708949,176.26979348756203
1982,Spain,Western Europe,42.817988,-1.644184,1982-4-16,NO,junior,energy,used,329,1966.2638719151894,42426.62508285525,128.95630724272112
1982,Dominican Republic,Central America & Caribbean,18.456792,-69.951164,1982-6-18,NO,junior,energy,standard,348,2002.4118335407072,36854.517500672824,105.90378592147363
1982,Spain,Western Europe,43.078794,-1.914608,1982-10-14,NO,lead,semiconductors,premium,419,1982.9278324781076,61055.09272050347,145.71621174344503
1982,Spain,Western Europe,43.320812,-1.984447,1982-11-18,NO,lead,semiconductors,used,543,1993.4198420436235,93640.02885826619,172.4494085787591
1982,Thailand,Southeast Asia,13.727896,100.524123,1982-12-2,NO,junior,semiconductors,used,487,2040.7427945646818,103361.0001620922,212.24024673940903
1983,Spain,Western Europe,43.320812,-1.984447,1983-2-3,NO,junior,semiconductors,used,522,1981.3575241971862,62222.65415632713,119.20048688951557
1983,Spain,Western Europe,43.320812,-1.984447,1983-3-26,NO,senior,energy,used,551,1983.8945359930988,64792.509293591334,117.59076096840532
1983,United Kingdom,Western Europe,54.600305000000006,-7.298402,1983-4-9,YES,junior,automotive,standard,373,0.0,52301.46366153867,140.21840123736908
1983,Spain,Western Europe,43.320812,-1.984447,1983-6-23,NO,senior,energy,standard,601,2033.175434929297,67382.40078491322,112.1171394091734
1983,Spain,Western Europe,43.032888,-2.411348,1983-10-16,NO,junior,automotive,used,756,1987.7026207054528,106393.5732906284,140.73223980241852
1983,Spain,Western Europe,43.320812,-1.984447,1983-12-15,NO,junior,energy,used,407,2006.9275310982553,52622.67392056719,129.2940391168727
1983,France,Western Europe,43.296482,5.36978,1983-12-31,NO,junior,gold,used,479,2033.5958646170316,84626.4808626071,176.67323770899188
1983,France,Western Europe,45.072641,4.847654,1983-12-31,NO,senior,semiconductors,used,404,1963.9714017082238,41778.18061792211,103.41133816317354
1984,United Kingdom,Western Europe,54.99451,-7.319996000000001,1984-3-27,YES,junior,energy,used,463,0.0,35292.53824742735,76.22578455167894
1984,United Kingdom,Western Europe,54.597269,-5.930109,1984-4-23,NO,VP,energy,used,361,1994.9657881288676,67239.78902281901,186.25980338731028
1984,United Kingdom,Western Europe,54.18006,-6.3339300000000005,1984-5-9,NO,junior,automotive,used,400,2013.9046162767343,65481.4581196713,163.70364529917825
1984,United Kingdom,Western Europe,54.346531000000006,-7.640403999999999,1984-5-19,NO,junior,energy,used,453,2045.6257925941832,78152.40271928441,172.5218603074711
1984,Spain,Western Europe,43.338233,-1.7892720000000002,1984-11-23,NO,junior,semiconductors,standard,721,1973.6644341018723,93616.67087471507,129.84281674717764
1985,United Kingdom,Western Europe,54.18006,-6.3339300000000005,1985-4-3,NO,senior,energy,premium,512,2030.1276233265253,85469.40061827833,166.93242308257487
1985,Spain,Western Europe,43.222177,-2.885668,1985-5-16,NO,junior,automotive,premium,628,2040.3139468643778,54434.92201584783,86.67981212714622
1985,Spain,Western Europe,40.416691,-3.7003449999999996,1985-9-9,YES,lead,energy,used,490,0.0,74155.91809058834,151.33860834813947
1985,Spain,Western Europe,42.846718,-2.6716349999999998,1985-9-14,YES,junior,energy,premium,492,0.0,83163.0910986492,169.03067296473412
1985,Spain,Western Europe,42.846718,-2.6716349999999998,1985-9-16,NO,junior,energy,standard,612,2000.407545016883,94770.42093673552,154.853628981594
1985,Spain,Western Europe,43.320812,-1.984447,1985-11-25,NO,senior,semiconductors,standard,424,1998.8559068944812,72579.75731873198,171.1786729215377
1985,Argentina,South America,-31.399301,-64.182129,1985-12-23,NO,senior,automotive,used,430,2029.9373604847187,73962.83409761569,172.00659092468766
1986,Spain,Western Europe,40.416691,-3.7003449999999996,1986-4-25,YES,junior,energy,used,386,0.0,58739.2767351024,152.17429205985079
1986,Spain,Western Europe,43.280364,-2.1715880000000003,1986-6-27,YES,junior,automotive,standard,671,0.0,71593.00115717032,106.69597787953848
1986,Spain,Western Europe,43.036248,-2.504542,1986-7-26,NO,junior,semiconductors,standard,393,1963.6034176457447,73738.99883882998,187.63104030236636
1986,Argentina,South America,-31.399301,-64.182129,1986-12-15,NO,VP,automotive,used,553,1989.1220145473915,58221.12493654757,105.28232357422706
1987,Spain,Western Europe,42.817988,-1.644184,1987-1-27,NO,junior,semiconductors,used,555,2015.3998049246386,89987.7112951511,162.1400203516236
1987,Spain,Western Europe,41.387917,2.1699189999999997,1987-3-27,YES,senior,automotive,used,438,0.0,55511.26169364085,126.7380403964403
1987,Spain,Western Europe,41.387917,2.1699189999999997,1987-4-3,YES,VP,semiconductors,standard,478,0.0,94534.24016881798,197.77037692221336
1987,Spain,Western Europe,40.416691,-3.7003449999999996,1987-5-17,NO,junior,automotive,used,525,2038.5518965305969,62362.45071075979,118.78562040144722
1987,Spain,Western Europe,41.387917,2.1699189999999997,1987-6-19,NO,lead,semiconductors,used,411,2001.8434031224135,36207.86398240397,88.0969926579172
1987,India,South Asia,31.864464,74.955923,1987-8-29,YES,junior,semiconductors,used,474,0.0,42278.15281796292,89.19441522776987
1987,Turkey,Middle East & North Africa,41.010676000000004,28.957255,1987-11-4,NO,senior,semiconductors,used,359,1974.5522198143806,57414.53735752131,159.9290734192794
1987,Spain,Western Europe,41.656285,-0.876533,1987-12-11,NO,lead,automotive,standard,513,2027.0304157437038,74303.7838202028,144.84168386004447
1987,India,South Asia,20.193413,86.211833,1987-12-23,NO,junior,energy,standard,516,1998.6861292014141,68185.19431754436,132.14184945260536
1987,Spain,Western Europe,41.387917,2.1699189999999997,1987-12-26,NO,lead,gold,used,318,2020.6562560185714,67936.7474514256,213.6375706019673
1988,United Kingdom,Western Europe,54.597269,-5.930109,1988-2-24,NO,junior,energy,standard,554,2013.7481620878984,83477.76909332309,150.6818936702583
1988,United Kingdom,Western Europe,54.597269,-5.930109,1988-2-24,YES,senior,semiconductors,used,408,0.0,67724.82641206593,165.9922215982008
1988,Cyprus,Western Europe,35.166752,33.367604,1988-5-11,NO,junior,semiconductors,used,456,1996.8318899309502,70445.7422028042,154.48627676053553
1988,India,South Asia,27.036007,88.262675,1988-6-5,NO,junior,semiconductors,used,427,2027.838740339012,64603.26268765016,151.29569716077322
1988,United Kingdom,Western Europe,51.500152,-0.126236,1988-8-2,NO,senior,automotive,used,585,2004.5670429019024,96678.52911201761,165.26244292652584
1988,India,South Asia,30.657625,77.056446,1988-8-12,YES,lead,semiconductors,used,576,0.0,91819.32250487445,159.40854601540704
1988,United Kingdom,Western Europe,54.600305000000006,-7.298402,1988-8-20,YES,junior,semiconductors,used,407,0.0,51128.227284735396,125.62218006077492
1988,India,South Asia,28.632381,77.220004,1988-9-12,NO,senior,semiconductors,premium,486,1980.2919474026178,84538.94861128644,173.94845393268815
1988,Spain,Western Europe,42.817988,-1.644184,1988-10-16,YES,junior,automotive,standard,346,0.0,45625.17889646275,131.86467889151083
1988,Spain,Western Europe,43.18418,-2.473289,1988-12-18,NO,junior,semiconductors,standard,394,1967.154587588781,64345.253050940846,163.31282500238794
1988,France,Western Europe,43.663739,7.14882,1988-12-19,NO,junior,automotive,used,495,2009.9676474748176,70587.33857405718,142.6006839879943
1989,India,South Asia,17.116011,74.988089,1989-2-10,NO,lead,automotive,standard,451,1994.8066022349585,55687.980615736116,123.47667542291822
1989,United Kingdom,Western Europe,54.99451,-7.319996000000001,1989-3-8,NO,VP,energy,used,713,1967.8094523776374,113064.3351947536,158.5755051819826
1989,United Kingdom,Western Europe,54.99451,-7.319996000000001,1989-3-8,NO,junior,energy,used,460,1999.103033321447,54892.53326976147,119.33159406469885
1989,India,South Asia,26.401436,90.266699,1989-7-11,NO,junior,energy,standard,572,1978.0225295762227,81329.53847327782,142.18450782041577
1989,India,South Asia,26.746018,92.095943,1989-8-11,YES,junior,energy,standard,598,0.0,90616.02653576045,151.5318169494322
1989,United Kingdom,Western Europe,51.22181,1.402734,1989-9-22,NO,senior,semiconductors,used,323,2009.8683130860113,53446.88551435941,165.4702337905864
1989,United Kingdom,Western Europe,54.180913000000004,-6.229722,1989-11-18,NO,junior,semiconductors,used,478,2046.1965464044533,75318.55422491011,157.5701971232429
1990,India,South Asia,32.110859999999995,76.536253,1990-1-3,NO,junior,energy,used,557,1992.5648858932118,77280.96743542742,138.7450043724011
1990,India,South Asia,27.939196000000003,77.842446,1990-2-13,NO,junior,energy,premium,561,1995.3950124270739,86756.55013762088,154.6462569298055
1990,India,South Asia,30.884444000000002,77.9325,1990-4-13,YES,senior,energy,used,482,0.0,66117.0309889021,137.1722634624525
1990,India,South Asia,28.632381,77.220004,1990-4-30,NO,lead,semiconductors,premium,542,2042.9796599939307,73926.17431758586,136.39515556750158
1990,India,South Asia,31.633978999999997,74.872264,1990-5-9,YES,senior,energy,used,514,0.0,75232.21198390203,146.36617117490667
1990,United Kingdom,Western Europe,51.500152,-0.126236,1990-5-16,NO,lead,automotive,premium,589,1982.417111556067,75596.11144143117,128.34653894979826
1990,Turkey,Middle East & North Africa,37.69513,42.106997,1990-9-6,YES,senior,automotive,premium,747,0.0,102880.50993041426,137.72491289212084
1990,India,South Asia,30.954424,74.612085,1990-10-16,YES,junior,energy,used,561,0.0,86376.16563540342,153.96820968877614
1990,Spain,Western Europe,43.3282,-3.0315090000000002,1990-11-18,NO,junior,automotive,premium,458,2014.6729057891846,65854.78020960299,143.78772971529037
1990,Spain,Western Europe,41.54862,2.107421,1990-12-8,NO,junior,energy,premium,402,1996.2711605677757,55963.38360881929,139.2123970368639
1991,Spain,Western Europe,43.256963,-2.923441,1991-1-9,NO,lead,semiconductors,used,337,2006.254815133174,51021.555997571035,151.39927595718407
1991,Spain,Western Europe,43.320812,-1.984447,1991-3-16,NO,senior,semiconductors,used,476,2019.8875621591517,87737.62064014576,184.32273243728102
1991,Spain,Western Europe,43.297222,-2.9916669999999996,1991-4-8,YES,senior,automotive,used,761,0.0,126084.8534569989,165.6831188659644
1991,Turkey,Middle East & North Africa,38.25343,37.390227,1991-4-15,NO,senior,semiconductors,used,875,1961.8224883352827,139304.80451003512,159.20549086861158
1991,Spain,Western Europe,41.930291,2.25435,1991-5-29,YES,junior,energy,used,575,0.0,80048.19829484876,139.2142579040848
1991,Spain,Western Europe,40.416691,-3.7003449999999996,1991-6-5,NO,senior,energy,standard,611,1979.688880275909,91081.30686279593,149.06924200130265
1991,India,South Asia,24.68786,78.412021,1991-7-11,YES,junior,automotive,premium,440,0.0,79702.30614654251,181.14160487850572
1991,India,South Asia,21.395367999999998,80.659743,1991-7-16,YES,junior,semiconductors,premium,519,0.0,85854.08811648266,165.42213509919588
1991,Turkey,Middle East & North Africa,37.415668,41.371505,1991-7-22,YES,junior,energy,premium,786,0.0,98078.31466538401,124.78157082109925
1991,Spain,Western Europe,43.325239,-3.011475,1991-7-28,NO,junior,semiconductors,used,546,2010.0378821475242,94497.35372049703,173.07207641116673
1991,Spain,Western Europe,38.41235,-0.443241,1991-9-16,NO,junior,energy,standard,581,1983.7925975581934,62729.87713259243,107.96880745712983
1991,India,South Asia,23.132692000000002,93.06100500000001,1991-9-28,NO,junior,semiconductors,used,499,1986.5208353182995,69105.95957748836,138.48889694887447
1991,Turkey,Middle East & North Africa,38.257194,40.781524,1991-11-3,NO,junior,energy,standard,444,2005.8865299572594,56434.947397120086,127.10573738090109
1992,United Kingdom,Western Europe,54.645861,-6.7451490000000005,1992-1-17,NO,junior,automotive,standard,367,2017.4666352078402,61463.18452235054,167.47461722711319
1992,India,South Asia,28.632381,77.220004,1992-1-29,NO,VP,semiconductors,used,522,1998.0885904524696,97144.69127186174,186.10094113383474
1992,China,East Asia,43.825645,87.616823,1992-2-5,YES,lead,energy,used,421,0.0,49105.70569933623,116.64063111481289
1992,Spain,Western Europe,43.46096,-3.8079339999999995,1992-2-19,NO,junior,semiconductors,standard,605,2020.4898642461847,117296.95126243425,193.87925828501528
1992,Turkey,Middle East & North Africa,39.933971,32.858521,1992-3-7,NO,lead,energy,standard,560,2001.2419391648511,69229.58682912738,123.62426219487033
1992,Argentina,South America,-34.6037,-58.381503,1992-3-17,YES,VP,energy,premium,602,0.0,95150.56864652403,158.05742300087047
1992,United Kingdom,Western Europe,51.500152,-0.126236,1992-4-10,NO,junior,semiconductors,used,406,2010.9303008621146,61492.85754515728,151.4602402590081
1992,Turkey,Middle East & North Africa,37.885793,41.130124,1992-9-11,YES,junior,energy,premium,409,0.0,66169.31805271674,161.78317372302382
1992,Turkey,Middle East & North Africa,38.887013,40.496196000000005,1992-10-20,YES,lead,energy,used,656,0.0,112435.80020425339,171.39603689672774
1992,India,South Asia,32.726602,74.857026,1992-10-31,NO,junior,energy,used,506,2023.784580269003,84157.55935983075,166.31928727239278
1994,Turkey,Middle East & North Africa,37.33083,42.184602000000005,1994-1-15,NO,junior,automotive,used,633,2002.6689951525075,108242.68431734912,170.99950129123084
1994,Turkey,Middle East & North Africa,37.851389000000005,41.321389,1994-3-10,NO,junior,automotive,used,526,1993.3494177723921,107308.136011806,204.00786314031558
1994,Turkey,Middle East & North Africa,37.340288,41.892628,1994-3-30,NO,junior,energy,used,568,1994.0650950032925,72108.37639069236,126.95136688502174
1994,Russia,Eastern Europe,55.75,37.616667,1994-6-7,NO,junior,semiconductors,standard,689,1990.989955999269,103665.73603096568,150.45825258485584
1995,China,East Asia,25.037720999999998,102.722202,1995-1-14,NO,junior,automotive,standard,642,1987.3485828443318,73950.64553114303,115.18792138807326
1995,United States,North America,35.472015,-97.520354,1995-4-19,YES,junior,gold,standard,411,0.0,48648.650626619215,118.36654653678642
1995,United Kingdom,Western Europe,54.99451,-7.319996000000001,1995-4-20,NO,junior,energy,used,467,1987.408106093456,76529.96423343281,163.87572640992036
1996,United Kingdom,Western Europe,51.500152,-0.126236,1996-2-9,NO,junior,automotive,used,459,1992.7496375182207,60574.252980599595,131.97005006666578
2003,Nigeria,Sub-Saharan Africa,6.520917,3.3795339999999996,2003-2-2,NO,VP,semiconductors,used,387,2034.408631372559,58410.83815770839,150.93239834033176
2003,India,South Asia,33.437013,75.193934,2003-9-2,NO,junior,semiconductors,standard,477,1998.8093969370952,59789.110477142945,125.34404712189297
2003,India,South Asia,33.778175,76.576171,2003-9-2,NO,senior,energy,standard,588,1967.2966905886146,87634.58438644139,149.03840882047857
2003,India,South Asia,33.778175,76.576171,2003-9-2,NO,junior,semiconductors,standard,517,1969.4056385923302,95504.34850462782,184.72794681746194
2003,Russia,Eastern Europe,43.916667,42.716667,2003-9-3,NO,senior,energy,used,343,2014.25740827117,49102.2626218923,143.1552846119309
2003,Russia,Eastern Europe,44.050154,43.05102,2003-9-4,NO,lead,automotive,used,345,2003.4366032432206,47345.58471940874,137.23357889683692
2003,India,South Asia,34.083658,74.797368,2003-9-6,NO,senior,energy,used,487,1974.6920409869963,63690.351059495806,130.78100833572034
2003,India,South Asia,33.14575,75.548049,2003-9-9,NO,VP,energy,standard,544,1987.688158739415,82164.55722074451,151.03778900872152
2003,India,South Asia,34.083658,74.797368,2003-9-11,YES,junior,energy,used,574,0.0,87166.94169162125,151.85878343488022
2003,India,South Asia,34.026206,74.824394,2003-9-13,NO,junior,energy,used,747,2028.8525476352502,116713.41887397147,156.24286328510237
2003,Russia,Eastern Europe,43.173137,44.812872,2003-9-15,NO,junior,energy,standard,406,1994.6959575395144,69184.8783052979,170.40610420024112
2003,India,South Asia,33.371715,74.315313,2003-9-22,NO,senior,energy,used,366,2028.7002659405305,47381.60687944434,129.45794229356378
2003,India,South Asia,23.940848000000003,91.988153,2003-9-30,YES,senior,energy,used,532,0.0,58735.98185821523,110.40598093649479
2003,Turkey,Middle East & North Africa,37.072693,41.214825,2003-12-1,NO,lead,energy,premium,539,1971.1494500155766,75474.04667842475,140.02606062787524
2004,Spain,Western Europe,40.416691,-3.7003449999999996,2004-3-11,NO,junior,energy,premium,467,1983.0342102375173,65657.65305811494,140.59454616298703
2004,Spain,Western Europe,40.416691,-3.7003449999999996,2004-3-11,NO,VP,energy,used,451,1973.2517080091266,49812.55476698216,110.44912365184514
2004,Spain,Western Europe,40.416691,-3.7003449999999996,2004-3-11,NO,lead,energy,premium,459,1966.3357139574289,72636.66541634637,158.2498157218875
2004,Spain,Western Europe,40.416691,-3.7003449999999996,2004-3-11,NO,lead,automotive,used,504,1986.5403841004809,75884.70258115123,150.56488607371276
2005,India,South Asia,34.089563,74.800344,2005-1-7,NO,senior,energy,used,476,2007.359436953161,73746.0682831587,154.92871488058552
2005,Thailand,Southeast Asia,6.5411019999999995,101.280408,2005-1-16,NO,lead,energy,standard,687,1989.7831487878718,101640.87263701113,147.9488684672651
2005,India,South Asia,34.090284999999994,74.800092,2005-1-16,NO,lead,energy,standard,577,1972.7192083294237,108367.39126296857,187.81176995315175
2005,India,South Asia,26.020720999999998,89.974331,2005-1-19,NO,senior,energy,used,574,2009.5430601301302,102805.51270997773,179.1036806794037
2005,China,East Asia,45.579889,84.889207,2005-1-20,NO,senior,energy,used,309,1995.004539542227,43124.861580017416,139.56265883500782
